1,"Холодильник ""Атлант""",ATL-123,"Холодильник ""Атлант"" с объемом камеры 300 литров и энергопотреблением класса A+",25000.00,Холодильники,1
2,"Духовка с электрической плитой ""Electrolux""",ELE-456,"Духовка с электрической плитой от ""Electrolux"" с функцией конвекции",35000.00,Плиты и духовки,2
3,"Стиральная машина ""Bosch""",BOS-789,"Стиральная машина ""Bosch"" с загрузкой 7 кг и функцией защиты от протечек",30000.00,Стиральные машины,3
4,"Посудомоечная машина ""Siemens""",SIE-101,"Посудомоечная машина ""Siemens"" с функцией сушки и возможностью установки встраиваемой панели",40000.00,Посудомоечные машины,4
5,"Микроволновая печь ""LG""",LGM-202,"Микроволновая печь ""LG"" с объемом камеры 20 литров и функцией быстрого размораживания",8000.00,Микроволновые печи,5
6,"Электрочайник ""Philips""",PHI-303,"Электрочайник ""Philips"" с объемом 1.7 литра и функцией автоматического отключения",3000.00,Электрочайники и кофеварки,6
7,"Утюг ""Rowenta""",ROW-404,"Утюг ""Rowenta"" с паровым ударом и системой защиты от накипи",2000.00,Утюги и парогенераторы,7
8,"Пылесос ""Samsung""",SAM-505,"Пылесос ""Samsung"" с мощностью 2000 Вт и фильтром HEPA",7000.00,Пылесосы,8
9,"Кондиционер ""Panasonic""",PAN-606,"Кондиционер ""Panasonic"" с мощностью 9000 BTU и функцией автоматического режима",40000.00,Климатическая техника,9
10,"Водонагреватель ""Ariston""",ARI-707,"Водонагреватель ""Ariston"" с объемом бака 50 литров и технологией быстрого нагрева воды",12000.00,Водонагреватели,10
11,"Блендер ""Moulinex""",MOU-808,"Блендер ""Moulinex"" с мощностью 1000 Вт и 6 скоростными режимами",5000.00,Мелкая кухонная техника,11
12,"Мультиварка ""Redmond""",RED-909,"Мультиварка ""Redmond"" с объемом чаши 5 литров и 16 программами приготовления",6000.00,Мультиварки и скороварки,12
13,"Кофемашина ""DeLonghi""",DEL-010,"Кофемашина ""DeLonghi"" с автоматической системой капучинатора и программой автоматического отключения",25000.00,Кофемашины,13
14,"Тостер ""Braun""",BRA-020,"Тостер ""Braun"" с функцией размораживания и регулировкой степени прожарки",3000.00,Тостеры и сэндвичницы,14
15,"Мясорубка ""Bosch""",BOS-030,"Мясорубка ""Bosch"" с мощностью 1500 Вт и функцией насадок для различных типов мяса",7000.00,Мясорубки и миксеры для мяса,15
16,"Фильтр для пылесоса ""Philips""",PHI-040,"Фильтр для пылесоса ""Philips"" с технологией защиты от мелкой пыли и аллергенов",1000.00,Фильтры и пылесборники,16
17,"Аксессуары для пылесоса ""Karcher""",KAR-050,"Аксессуары для пылесоса ""Karcher"" включающие насадки для мебели и углов",2000.00,Аксессуары для пылесосов,17
18,"Кондиционер настенный ""Mitsubishi Electric""",MIT-060,"Кондиционер настенный ""Mitsubishi Electric"" с функцией энергосбережения и бесшумной работой",60000.00,Кондиционеры и вентиляторы,18
19,"Обогреватель керамический ""Timberk""",TIM-070,"Обогреватель керамический ""Timberk"" с функцией поддержания температуры и защитой от перегрева",5000.00,Обогреватели и радиаторы,19
20,"Очиститель воздуха ""Dyson""",DYS-080,"Очиститель воздуха ""Dyson"" с технологией циклонического очищения и автоматическим режимом работы",30000.00,Очистители воздуха и увлажнители,20
21,"Система умного дома ""Google Nest""",NES-090,"Система умного дома ""Google Nest"" включающая в себя умный динамик и видеокамеру",25000.00,Системы умного дома,21
22,"Встраиваемая микроволновая печь ""Whirlpool""",WHI-100,"Встраиваемая микроволновая печь ""Whirlpool"" с функцией гриля и таймером",15000.00,Встраиваемая бытовая техника,22
23,"Насадка для блендера ""Bosch""",BOS-110,"Насадка для блендера ""Bosch"" с функцией измельчения льда и орехов",2000.00,Аксессуары для кухонной техники,23
24,"Утюг паровой ""Tefal""",TEF-120,"Утюг паровой ""Tefal"" с системой увеличенного пара и автоматическим отключением",3000.00,Уход за одеждой и обувью,24
25,"Фен для волос ""Remington""",REM-130,"Фен для волос ""Remington"" с ионизатором и 3 скоростными режимами",2000.00,Уход за волосами,25
26,"Электрическая зубная щетка ""Oral-B""",ORA-140,"Электрическая зубная щетка ""Oral-B"" с 3 режимами чистки и индикатором заряда",4000.00,Уход за телом и зубами,26
27,"Массажер для шеи и спины ""Beurer""",BEU-150,"Массажер для шеи и спины ""Beurer"" с 3D-массажем и подогревом",7000.00,Массажеры и тренажеры,27
28,"Электронные весы ""Xiaomi""",XIA-160,"Электронные весы ""Xiaomi"" с подключением к приложению и анализом состава тела",3000.00,Электронные весы и измерители,28
29,"Триммер для бороды ""Philips""",PHI-170,"Триммер для бороды ""Philips"" с регулировкой длины и наконечником для детальной стрижки",2500.00,Электробритвы и триммеры,29
30,"Кофемолка ""Krups""",KRU-180,"Кофемолка ""Krups"" с мощностью 200 Вт и регулируемой степенью помола",4000.00,Мелкая кухонная техника,11
31,"Морозильная камера ""Beko""",BEK-001,"Морозильная камера ""Beko"" с объемом 200 литров и технологией низкого энергопотребления",20000.00,Холодильники,1
32,"Газовая плита ""Gorenje""",GOR-002,"Газовая плита ""Gorenje"" с электроподжигом и функцией защиты от утечки газа",30000.00,Плиты и духовки,2
33,"Сушильная машина ""LG""",LGS-003,"Сушильная машина ""LG"" с объемом барабана 7 кг и 10 программами сушки",35000.00,Стиральные машины,3
34,"Компактный посудомоечный аппарат ""Bosch""",BOC-004,"Компактный посудомоечный аппарат ""Bosch"" с 6 программами мытья и технологией ""AquaStop""",25000.00,Посудомоечные машины,4
35,"Микроволновка с грилем ""Samsung""",SAM-005,"Микроволновка с грилем ""Samsung"" и объемом камеры 25 литров",10000.00,Микроволновые печи,5
36,"Электрический чайник ""Braun""",BRA-006,"Электрический чайник ""Braun"" с функцией поддержания температуры и защитой от перегрева",4000.00,Электрочайники и кофеварки,6
37,"Парогенератор ""Tefal""",TEF-007,"Парогенератор ""Tefal"" с большим резервуаром для воды и подвесным утюгом",15000.00,Утюги и парогенераторы,7
38,"Пылесос-робот ""iRobot""",IRO-008,"Пылесос-робот ""iRobot"" с технологией навигации и автоматической зарядкой",30000.00,Пылесосы,8
39,"Переносной кондиционер ""Haier""",HAI-009,"Переносной кондиционер ""Haier"" с мощностью 9000 BTU и возможностью установки на колеса",35000.00,Климатическая техника,9
40,"Бойлер ""Atlantic""",ATL-010,"Бойлер ""Atlantic"" с мощностью 2000 Вт и объемом накопительного бака 80 литров",15000.00,Водонагреватели,10
41,"Соковыжималка ""Bosch""",BOS-011,"Соковыжималка ""Bosch"" с мощностью 1000 Вт и возможностью изготовления сока из цельных фруктов",6000.00,Мелкая кухонная техника,11
42,"Блендер-погружной ""Vitek""",VIT-012,"Блендер-погружной ""Vitek"" с двумя насадками и функцией измельчения льда",3000.00,Мелкая кухонная техника,11
43,"Мультиварка ""Moulinex""",MOU-013,"Мультиварка ""Moulinex"" с объемом 6 литров и функцией поддержания тепла",8000.00,Мультиварки и скороварки,12
44,"Кофемолка-блендер ""Scarlett""",SCA-014,"Кофемолка-блендер ""Scarlett"" с 2 скоростными режимами и 4 насадками",4000.00,Мелкая кухонная техника,11
45,"Автоматическая кофемашина ""Saeco""",SAE-015,"Автоматическая кофемашина ""Saeco"" с функцией самоочистки и поддержанием температуры кофе",60000.00,Кофемашины,13
46,"Тостер-гриль ""Braun""",BRA-016,"Тостер-гриль ""Braun"" с возможностью приготовления панини и регулировкой степени обжарки",5000.00,Тостеры и сэндвичницы,14
47,"Мясорубка ""Moulinex""",MOU-017,"Мясорубка ""Moulinex"" с реверсивной функцией и насадками для изготовления колбасы",7000.00,Мясорубки и миксеры для мяса,15
48,"Фильтр для пылесоса ""Karcher""",KAR-018,"Фильтр для пылесоса ""Karcher"" с технологией защиты от аллерергенов и микрочастиц",1000.00,Фильтры и пылесборники,16
49,"Насадка для пылесоса ""Electrolux""",ELE-019,"Насадка для пылесоса ""Electrolux"" с турбощеткой и насадкой для мебели",1500.00,Аксессуары для пылесосов,17
50,"Мобильный кондиционер ""Ballu""",BAL-020,"Мобильный кондиционер ""Ballu"" с функцией вентиляции и таймером включения",40000.00,Кондиционеры и вентиляторы,18
51,"Масляный радиатор ""Zanussi""",ZAN-021,"Масляный радиатор ""Zanussi"" с 9 режимами мощности и колесами для удобства перемещения",8000.00,Обогреватели и радиаторы,19
52,"Очиститель воздуха с ионизатором ""Philips""",PHI-022,"Очиститель воздуха с ионизатором ""Philips"" и функцией автоматической очистки воздуха",25000.00,Очистители воздуха и увлажнители,20
53,"Умная система управления освещением ""TP-Link""",TPL-023,"Умная система управления освещением ""TP-Link"" с возможностью управления через смартфон",5000.00,Системы умного дома,21
54,"Варочная панель индукционная ""Bosch""",BOS-024,"Варочная панель индукционная ""Bosch"" с 4 зонами нагрева и функцией детекции посуды",30000.00,Встраиваемая бытовая техника,22
55,"Насадка для кухонного комбайна ""Kenwood""",KEN-025,"Насадка для кухонного комбайна ""Kenwood"" с 5 насадками для измельчения и нарезки",6000.00,Аксессуары для кухонной техники,23
56,"Паровая станция ""Philips""",PHI-026,"Паровая станция ""Philips"" с непрерывной подачей пара и функцией автоматического отключения",35000.00,Уход за одеждой и обувью,24
57,"Фен с ионизацией ""Rowenta""",ROW-027,"Фен с ионизацией ""Rowenta"" и насадкой для сглаживания волос",4000.00,Уход за волосами,25
87,"Электрическая зубная щетка ""Colgate""",COL-058,"Электрическая зубная щетка ""Colgate"" с 3 режимами чистки и индикатором заряда",2500.00,Уход за телом и зубами,26
58,"Электрическая зубная щетка ""Panasonic""",PAN-028,"Электрическая зубная щетка ""Panasonic"" с функцией вибрации и индикатором времени чистки",5000.00,Уход за телом и зубами,26
59,"Массажер для ног ""Beurer""",BEU-029,"Массажер для ног ""Beurer"" с функцией подогрева и 3 режимами интенсивности",7000.00,Массажеры и тренажеры,27
60,"Электронные напольные весы ""Redmond""",RED-030,"Электронные напольные весы ""Redmond"" с дисплеем и автоматическим выключением",3000.00,Электронные весы и измерители,28
61,"Триммер для бороды и усов ""Philips""",PHI-031,"Триммер для бороды и усов ""Philips"" с насадками и регулировкой длины",2500.00,Электробритвы и триммеры,29
62,"Кофемолка ручная ""Hario""",HAR-032,"Кофемолка ручная ""Hario"" из нержавеющей стали и керамики",3000.00,Мелкая кухонная техника,11
63,"Холодильник ""Снеж""",SNZ-033,"Холодильник ""Снеж"" с системой ""No Frost"" и функцией экономии энергии",35000.00,Холодильники,1
64,"Духовка ""MasterCook""",MAS-034,"Духовка ""MasterCook"" с функцией конвекции и таймером",25000.00,Плиты и духовки,2
65,"Стиральная машина ""Zanussi""",ZAN-035,"Стиральная машина ""Zanussi"" с загрузкой 8 кг и функцией быстрой стирки",28000.00,Стиральные машины,3
66,"Посудомоечная машина ""LG""",LGD-036,"Посудомоечная машина ""LG"" с технологией ""Smart Diagnosis"" и 10 программами мытья",40000.00,Посудомоечные машины,4
67,"Микроволновая печь ""Panasonic""",PAN-037,"Микроволновая печь ""Panasonic"" с инверторным нагревом и функцией размораживания",12000.00,Микроволновые печи,5
68,"Электрический чайник ""Kenwood""",KEN-038,"Электрический чайник ""Kenwood"" с автоматическим отключением и защитой от перегрева",5000.00,Электрочайники и кофеварки,6
69,"Утюг ""Bosch""",BOS-039,"Утюг ""Bosch"" с функцией антипригарного покрытия и системой защиты от капель",3000.00,Утюги и парогенераторы,7
70,"Пылесос ""Philips""",PHI-040,"Пылесос ""Philips"" с технологией ""PowerCyclone"" и HEPA-фильтром",6000.00,Пылесосы,8
71,"Кондиционер ""Daikin""",DAI-041,"Кондиционер ""Daikin"" с функцией интеллектуальной очистки воздуха и управлением через Wi-Fi",70000.00,Климатическая техника,9
72,"Бойлер ""Stiebel Eltron""",STI-042,"Бойлер ""Stiebel Eltron"" с электронным регулированием температуры и защитой от перегрева",18000.00,Водонагреватели,10
73,"Блендер ""Scarlett""",SCA-043,"Блендер ""Scarlett"" с 10 скоростными режимами и функцией измельчения льда",3500.00,Мелкая кухонная техника,11
74,"Мультиварка ""Tefal""",TEF-044,"Мультиварка ""Tefal"" с 25 программами приготовления и функцией поддержания тепла",10000.00,Мультиварки и скороварки,12
75,"Кофемашина ""Krups""",KRU-045,"Кофемашина ""Krups"" с автоматическим молочным капучинатором и регулировкой степени помола",45000.00,Кофемашины,13
76,"Тостер ""Braun""",BRA-046,"Тостер ""Braun"" с функцией размораживания и 7 режимами обжарки",5000.00,Тостеры и сэндвичницы,14
77,"Мясорубка ""Vitek""",VIT-047,"Мясорубка ""Vitek"" с мощностью 800 Вт и 3 насадками для измельчения",7000.00,Мясорубки и миксеры для мяса,15
78,"Фильтр-пылесборник ""Samsung""",SAM-048,"Фильтр-пылесборник ""Samsung"" с технологией фильтрации ""Cyclone Force""",1500.00,Фильтры и пылесборники,16
79,"Насадка для пылесоса ""Miele""",MIE-049,"Насадка для пылесоса ""Miele"" с электрощеткой и насадкой для уборки мебели",2000.00,Аксессуары для пылесосов,17
80,"Вентилятор напольный ""Rowenta""",ROW-050,"Вентилятор напольный ""Rowenta"" с 3 скоростями и возможностью наклона",8000.00,Кондиционеры и вентиляторы,18
81,"Керамический радиатор ""Supra""",SUP-051,"Керамический радиатор ""Supra"" с 3 уровнями нагрева и автоматическим отключением",10000.00,Обогреватели и радиаторы,19
82,"Освежитель воздуха ""Air Wick""",AIR-052,"Освежитель воздуха ""Air Wick"" с технологией нейтрализации запахов и регулируемой интенсивностью",700.00,Очистители воздуха и увлажнители,20
83,"Умная система управления освещением ""Philips Hue""",PHU-053,"Умная система управления освещением ""Philips Hue"" с поддержкой голосового управления и регулировкой цвета",15000.00,Системы умного дома,21
84,"Встраиваемая духовка ""Siemens""",SIE-054,"Встраиваемая духовка ""Siemens"" с функцией пароварки и таймером",35000.00,Встраиваемая бытовая техника,22
85,"Наушник для кухонного комбайна ""Kenwood""",KEN-055,"Наушник для кухонного комбайна ""Kenwood"" с 6 насадками для измельчения и мешалкой",4500.00,Аксессуары для кухонной техники,23
86,"Паровая машина для одежды ""SteamOne""",STE-056,"Паровая машина для одежды ""SteamOne"" с вертикальным отпариванием и большим резервуаром для воды",20000.00,Уход за одеждой и обувью,24
88,"Массажная накидка для спины ""Beurer""",BEU-059,"Массажная накидка для спины ""Beurer"" с 4 массажными зонами и подогревом",8000.00,Массажеры и тренажеры,27
89,"Электронные кухонные весы ""Redmond""",RED-060,"Электронные кухонные весы ""Redmond"" с функцией тарировки и автоматическим выключением",3500.00,Электронные весы и измерители,28
90,"Триммер для носа и ушей ""Braun""",BRA-061,"Триммер для носа и ушей ""Braun"" с защитной системой и наконечником-расческой",2000.00,Электробритвы и триммеры,29
91,"Кофемолка ""DeLonghi""",DEL-062,"Кофемолка ""DeLonghi"" с функцией выбора степени помола и резервуаром для зерен",7000.00,Мелкая кухонная техника,11
92,"Соковыжималка-цитрусовыжималка ""Bosch""",BOS-063,"Соковыжималка-цитрусовыжималка ""Bosch"" с двумя насадками для соков и цитрусов и функцией автоматического отжима",4000.00,Мелкая кухонная техника,11
93,"Мясорубка электрическая ""Philips""",PHI-064,"Мясорубка электрическая ""Philips"" с функцией реверса и насадками для колбасы",9000.00,Мясорубки и миксеры для мяса,15
94,"Фильтр для пылесоса ""Rowenta""",ROW-065,"Фильтр для пылесоса ""Rowenta"" с технологией ""Cyclonic"" и улучшенной фильтрацией",2000.00,Фильтры и пылесборники,16
95,"Щетка-насадка для пылесоса ""Electrolux""",ELE-066,"Щетка-насадка для пылесоса ""Electrolux"" с регулируемой высотой и щетинами-пылесборниками",3000.00,Аксессуары для пылесосов,17
96,"Вентилятор напольный ""Supra""",SUP-067,"Вентилятор напольный ""Supra"" с таймером и 5 режимами скорости",7000.00,Кондиционеры и вентиляторы,18
97,"Масляный обогреватель ""Polaris""",POL-068,"Масляный обогреватель ""Polaris"" с регулируемым термостатом и защитой от перегрева",6000.00,Обогреватели и радиаторы,19
98,"Очиститель воздуха ""Sharp""",SHA-069,"Очиститель воздуха ""Sharp"" с плазменным кластерным ионизатором и датчиком качества воздуха",25000.00,Очистители воздуха и увлажнители,20
99,"Умный датчик движения ""Xiaomi""",XIA-070,"Умный датчик движения ""Xiaomi"" с поддержкой работы через приложение и отправкой уведомлений",1500.00,Системы умного дома,21
100,"Встраиваемая микроволновая печь ""Siemens""",SIE-071,"Встраиваемая микроволновая печь ""Siemens"" с технологией ""Innowave"" и 5 режимами нагрева",25000.00,Встраиваемая бытовая техника,22
101,"Нож для кухонного комбайна ""Braun""",BRA-072,"Нож для кухонного комбайна ""Braun"" с 6 лезвиями из нержавеющей стали",3500.00,Аксессуары для кухонной техники,23
102,"Паровая швабра ""Bissell""",BIS-073,"Паровая швабра ""Bissell"" с резервуаром для воды и насадками для чистки ковров и плитки",8000.00,Уход за одеждой и обувью,24
